Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена
 НАО (Новомосковский),Филатов Луг,5,3,А101,«Прокшино»,Бизнес,квартира,8,15,Без отделки,1,36.0,14.2,11.4,Монолитный,"Подземная, гостевая",2024,10 432 853
 НАО (Новомосковский),Филатов Луг,4,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,квартира,12,22,Чистовая,2,54.1,28.7,,"Панельный, монолитный",Гостевая,2025,10 852 090
 НАО (Новомосковский),Рассказовка,2,3,Абсолют Недвижимость,«Переделкино Ближнее Город-парк»,Комфорт,квартира,12,12,Без отделки,1,40.3,18.0,,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2023,10 822 942
 НАО (Новомосковский),Саларьево,6,3,А101,«Испанские кварталы»,Комфорт,квартира,3,9,Чистовая,2,38.2,11.3,15.8,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,12 493 839
 СЗАО,Сходненская,3,3,ГК ФСК,«Sky Garden (Скай Гарден)»,Бизнес,квартира,24,43,Предчистовая,1,37.9,15.4,8.7,Монолитный,"Подземная, гостевая",2025,12 512 022
,,,0,,,,,,,,,,,,,,,
 СЗАО,Карамышевская,2,3,Концерн КРОСТ,«Crystal (Кристал)»,Бизнес,квартира,15,28,Без отделки,1,39.3,,13.5,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025,15 169 800
 ЮВАО,Лухмановская,3,3,Группа Самолет,«Квартал Некрасовка»,Комфорт,квартира,12,23,Чистовая,2,74.9,25.7,,Монолитный,Гостевая,2022,16 007 845
 СЗАО,Щукинская,4,3,Концерн КРОСТ,«Театральный квартал»,Премиум,квартира,15,19,Без отделки,1,40.5,,14.6,Монолитный,"Подземная, гостевая",2024,16 929 000
 ЗАО,Кунцевская,3,3,Ташир,«West Tower (Апартаменты бизнес-класса) (Вест Тауэр)»,Бизнес,апартаменты,6,21,С отделкой,2,47.9,34.5,,Монолитный,"Подземная, гостевая",2020,16 942 230
 СЗАО,Хорошёво,3,3,ГК МИЦ,«Вереск»,Бизнес,квартира,7,9,Без отделки,2,46.8,25.6,6.3,Монолитный,"Подземная, гостевая",2023,17 650 562
 САО,Аэропорт,12,3,Optima Development,«Прайм Парк (Prime Park)»,Премиум,квартира,10,41,Предчистовая,1,40.5,,,Монолитный,"Подземная, гостевая",2023,24 877 125
 ЦАО,Серпуховская,9,3,Ziggurat,«Vernissage (Апартаменты премиум-класса) (Вернисаж)»,Премиум,апартаменты,4,8,Черновая,2,44.54,32.3,7.2,Монолитно-кирпичный,Подземная,2024,30 183 867
 НАО (Новомосковский),Улица Горчакова,5,3,,«Дзен-кварталы»,,квартира,8,10,Без отделки,1,33.2,11.0,13.4,,,2025,9 006 527
 ЮАО,Аннино,3,3,РГ-Девелопмент,«МФК Варшавские ворота»,Комфорт,квартира,7,8,Без отделки,1,38.8,16.7,11.4,Монолитный,Подземная,2025,10 130 680
 ЮЗАО,Бульвар Адмирала Ушакова,4,3,А101,«Южные сады»,Комфорт,квартира,20,30,Без отделки,2,38.4,11.2,15.4,Монолитный,"Подземная, гостевая",2025,10 664 777
 ЮЗАО,Бульвар Адмирала Ушакова,4,3,А101,«Южные сады»,Комфорт,квартира,20,30,Без отделки,2,38.4,11.2,15.4,Монолитный,"Подземная, гостевая",2025,10 664 777
 НАО (Новомосковский),Бунинская аллея,5,3,,«Бунинские кварталы»,,квартира,2,16,Неизвестно,2,56.3,28.5,14.9,,,2024,10 825 728
 НАО (Новомосковский),Саларьево,5,3,А101,«Испанские кварталы»,Комфорт,квартира,2,15,Без отделки,1,38.3,11.2,19.4,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2022,11 239 901
,,,0,,,,,,,,,,,,,,,
 ЦАО,Электрозаводская,15,2,Level Group,«Level Бауманская»,Бизнес,квартира,6,21,Без отделки,2,38.7,12.1,19.0,Монолитный,Подземная,2025,16 531 576
 САО,Петровский Парк,5,3,Glincom,«Verdi (Верди)»,Премиум,апартаменты,2,8,Без отделки,1,42.0,,,Монолитный,-,2024,18 497 300
 СЗАО,Тушинская,3,3,MR Group,«City Bay (Сити Бэй)»,Бизнес,квартира,20,28,Предчистовая,2,57.99,25.6,,Монолитный,Подземная,2023,19 099 999
 ЮАО,Нагатинская,4,3,,,,квартира,2,28,Предчистовая,2,58.6,26.0,15.7,,,2025,21 066 474
 ЮЗАО,Новые Черёмушки,4,2,Ташир,«ONYX Deluxe (ОНИКС Делюкс)»,Премиум,квартира,30,32,Предчистовая,1,43.5,18.5,12.6,Монолитный,"Подземная, гостевая",2021,21 402 000
 СВАО,Алексеевская,11,3,КОРТРОС,«iLove (АйЛав)»,Бизнес,квартира,3,24,Без отделки,2,51.43,38.6,,Монолитный,"Подземная, гостевая",2024,21 754 890
,,,0,,,,,,,,,,,,,,,
 СВАО,Бутырская,10,3,Sminex-Интеко,«Дом Достижение»,Премиум,квартира,13,21,Без отделки,2,59.5,25.3,12.8,Монолитный,Подземная,2024,26 190 000
 НАО (Новомосковский),Ольховая,11,3,Новые Ватутинки,«Новые Ватутинки. Заречный»,Комфорт,квартира,2,14,Чистовая,1,41.2,20.3,,Монолитный,"Подземная, гостевая",2025,7 584 920
 НАО (Новомосковский),Ольховая,14,3,Новые Ватутинки,«Новые Ватутинки. Микрорайон Центральный»,Комфорт,квартира,8,8,Чистовая,1,31.7,14.9,,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,8 309 077
 НАО (Новомосковский),Филатов Луг,4,3,,«Прокшино»,,Студия,4,18,Предчистовая,,21.5,9.0,5.4,,,2024,8 630 207
 НАО (Новомосковский),Ольховая,9,3,Новые Ватутинки,«Новые Ватутинки. Десна»,Комфорт,квартира,15,15,Чистовая,1,37.8,18.3,,"Панельный, монолитный","Подземная, гостевая",2022,8 797 000
 НАО (Новомосковский),Бунинская аллея,5,3,,«Бунинские кварталы»,,квартира,15,16,Неизвестно,1,35.9,14.1,11.1,,,2024,8 823 655
 ЮЗАО,Бульвар Адмирала Ушакова,5,3,А101,«Южные сады»,Комфорт,квартира,2,30,Без отделки,1,35.6,12.1,12.9,Монолитный,"Подземная, гостевая",2025,9 100 013
 ЮВАО,Люблино,3,3,,«Графика на воде»,,квартира,2,17,Без отделки,1,32.7,10.7,10.0,,,2024,9 509 160
 НАО (Новомосковский),Ольховая,5,3,А101,«Скандинавия»,Комфорт,квартира,3,14,Предчистовая,1,35.1,15.8,12.4,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,9 536 109
 ЮВАО,Лухмановская,2,3,Группа Самолет,«Квартал Некрасовка»,Комфорт,квартира,15,23,Чистовая,1,38.5,17.2,,Монолитный,Гостевая,2021,9 600 914
 НАО (Новомосковский),Рассказовка,7,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,квартира,17,21,Чистовая,1,37.7,13.6,,"Панельный, монолитный",Гостевая,2024,10 015 066
 НАО (Новомосковский),Ольховая,9,3,Новые Ватутинки,«Новые Ватутинки. Десна»,Комфорт,квартира,2,14,Чистовая,2,52.6,32.7,,"Панельный, монолитный","Подземная, гостевая",2022,11 469 910
 СЗАО,Волоколамская,2,3,MR Group,«City Bay (Сити Бэй)»,Бизнес,квартира,6,53,Предчистовая,1,37.6,,,Монолитный,Подземная,2025,11 718 704
 ЮВАО,Люблино,3,3,,«Графика на воде»,,квартира,2,17,Без отделки,2,47.8,24.0,10.4,,,2024,11 981 070
 САО,Хорошёво,3,3,ГК МИЦ,«Сити-комплекс Мята»,Бизнес,апартаменты,12,22,Без отделки,1,37.9,13.7,,Монолитный,"Подземная, гостевая",2023,13 534 090
 ЗАО,Кунцевская,5,2,ГК Основа,«MainStreet (Мейнстрит)»,Бизнес,апартаменты,14,29,Неизвестно,1,42.3,14.0,13.9,Монолитный,"Подземная, гостевая",2022,15 869 056
 ЮАО,Коломенская,4,3,Аеон Девелопмент,«Ривер Парк Коломенское»,Бизнес,квартира,2,19,Без отделки,1,37.0,19.2,9.6,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,15 762 000
 СВАО,Алексеевская,11,3,КОРТРОС,«iLove (АйЛав)»,Бизнес,квартира,12,34,Без отделки,1,46.0,34.5,,Монолитный,"Подземная, гостевая",2022,16 500 000
 СВАО,Балтийская,14,2,ГК Основа,«VERY (Вери)»,Бизнес,квартира,11,31,Черновая,2,39.7,30.5,4.2,Монолитно-кирпичный,"Подземная, гостевая",2024,16 773 250
 ЮАО,Варшавская,5,3,Prime Life Development,«1-й Нагатинский»,Бизнес,квартира,11,25,Предчистовая,1,39.69,12.0,16.6,Монолитный,Подземная,2025,16 968 545
 СВАО,Бутырская,10,3,Sminex-Интеко,«Дом Достижение»,Премиум,квартира,2,28,Без отделки,1,40.47,11.1,17.4,Монолитный,Подземная,2024,17 030 000
 САО,Зорге,13,3,St Michael,«Зорге 9»,Бизнес,апартаменты,17,21,Черновая,1,35.58,11.7,16.7,Монолитно-кирпичный,"Подземная, гостевая",2023,18 512 640
 СЗАО,Полежаевская,3,3,ГК МИЦ,«Вереск»,Бизнес,квартира,12,21,Без отделки,1,49.6,20.6,17.7,Монолитный,"Подземная, гостевая",2023,18 898 902
 ЗАО,Кунцевская,5,2,ГК Основа,«MainStreet (Мейнстрит)»,Бизнес,апартаменты,2,29,Неизвестно,2,66.4,31.5,12.4,Монолитный,"Подземная, гостевая",2022,19 256 000
 СВАО,ВДНХ,10,3,СЗ Звездный,«Сенатор»,Бизнес,квартира,6,22,Без отделки,1,48.6,,17.8,Монолитный,Подземная,2023,20 609 073
 ЮАО,Коломенская,4,3,Аеон Девелопмент,«Ривер Парк Коломенское»,Бизнес,квартира,2,19,Без отделки,2,53.0,33.9,9.5,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,21 132 690
 САО,Хорошёвская,2,3,St Michael,«Зорге 9»,Бизнес,апартаменты,9,21,Черновая,2,54.61,22.5,19.1,Монолитно-кирпичный,"Подземная, гостевая",2023,23 508 940
 ЮАО,Технопарк,6,3,Группа Эталон,«Nagatino i-Land (Нагатино Ай-Ленд)»,Бизнес,квартира,3,35,Без отделки,2,67.7,,,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2026,23 775 373
 ЦАО,Серпуховская,9,3,,«Sky House (Скай Хаус)»,,квартира,26,29,Без отделки,2,68.5,,,,,2020,31 855 582
 НАО (Новомосковский),Филатов Луг,12,3,ГК МИЦ,«Цветочные поляны»,Комфорт,квартира,9,13,Без отделки,1,28.98,10.0,8.9,Монолитный,"Отдельная многоуровневая, гостевая",2024,5 346 810
 НАО (Новомосковский),Филатов Луг,12,3,ГК МИЦ,«Цветочные поляны ЭкоПарк»,Комфорт,квартира,10,16,Без отделки,1,27.1,9.6,8.1,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2026,5 501 869
 НАО (Новомосковский),Филатов Луг,12,3,ГК МИЦ,«Цветочные поляны»,Комфорт,квартира,3,20,Без отделки,2,43.95,22.6,11.4,Монолитный,"Отдельная многоуровневая, гостевая",2024,6 445 268
 СЗАО,Митино,4,3,ГК МИЦ,«Сити-комплекс Перец»,Бизнес,апартаменты,24,28,Чистовая,2,46.58,13.6,,Монолитный,Гостевая,2023,7 999 826
 НАО (Новомосковский),Ольховая,11,3,Новые Ватутинки,«Новые Ватутинки. Заречный»,Комфорт,квартира,5,14,Чистовая,2,54.5,34.0,,Монолитный,"Подземная, гостевая",2025,9 859 050
 НАО (Новомосковский),Ольховая,14,3,Новые Ватутинки,«Новые Ватутинки. Микрорайон Центральный»,Комфорт,квартира,8,8,Чистовая,2,51.1,29.4,,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,11 308 226
 САО,Хорошёво,3,3,ГК МИЦ,«Сити-комплекс Мята»,Бизнес,апартаменты,4,22,Без отделки,2,45.9,27.3,10.7,Монолитный,"Подземная, гостевая",2023,14 137 200
 ЮЗАО,Академическая,1,3,Level Group,«Level Академическая»,Бизнес,Студия,6,19,Без отделки,,25.0,15.5,2.9,Монолитный,Гостевая,2025,15 183 293
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
 ЮВАО,Угрешская,4,3,Колди (Coldy),«N’ice Loft»,Бизнес,Апартаменты-студия,11,21,Без отделки,,17.83,,,Монолитно-кирпичный,Подземная,2024,5 562 960
 НАО (Новомосковский),Филатов Луг,12,3,ГК МИЦ,«Цветочные поляны ЭкоПарк»,Комфорт,квартира,2,16,Без отделки,2,38.6,16.8,5.0,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024,6 029 378
,,,0,,,,,,,,,,,,,,,
 НАО (Новомосковский),Саларьево,6,3,А101,«Испанские кварталы»,Комфорт,Студия,7,9,Чистовая,,21.1,8.8,5.4,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,7 156 625
 НАО (Новомосковский),Тропарёво,5,3,ГК ФСК,«Движение.Говорово Апарт-комплекс»,Комфорт,Апартаменты-студия,2,15,Чистовая,,21.34,10.8,,"Монолитно-кирпичный, монолитный",Гостевая,2025,7 186 668
 САО,Гражданская,10,3,РГ-Девелопмент,«Петровский парк II»,Бизнес,Студия,2,25,Без отделки,,27.6,8.8,6.1,Монолитный,Подземная,2025,10 234 080
 ВАО,Преображенская площадь,6,3,,«Апартаменты Берег Яузы»,,Апартаменты-студия,3,3,Чистовая,,28.1,,,,,2022,8 430 000
,,,0,,,,,,,,,,,,,,,
 ЮАО,Аннино,3,3,РГ-Девелопмент,«МФК Варшавские ворота»,Комфорт,Апартаменты-студия,2,9,Без отделки,,24.6,13.6,6.0,Монолитный,Подземная,2025,5 658 000
 НАО (Новомосковский),Улица Скобелевская,5,3,А101,«Скандинавия»,Комфорт,Студия,5,14,Без отделки,,22.9,10.1,6.1,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,6 836 344
 ЮЗАО,Бульвар Адмирала Ушакова,4,3,А101,«Южные сады»,Комфорт,Студия,3,30,Без отделки,,22.4,7.6,5.0,Монолитный,"Подземная, гостевая",2025,7 195 321
 НАО (Новомосковский),Рассказовка,5,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,Студия,17,22,Без отделки,,32.3,16.6,,"Панельный, монолитный",Гостевая,2024,7 334 834
 НАО (Новомосковский),Рассказовка,2,3,Абсолют Недвижимость,«Переделкино Ближнее Город-парк»,Комфорт,Студия,10,17,Без отделки,,28.4,12.7,,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,7 763 613
 СЗАО,Волоколамская,2,3,MR Group,«City Bay (Сити Бэй)»,Бизнес,Студия,15,53,Предчистовая,,21.9,1.2,15.7,Монолитный,Подземная,2025,7 974 587
 ЮВАО,Лухмановская,3,3,Группа Самолет,«Квартал Некрасовка»,Комфорт,Студия,11,23,Чистовая,,26.8,15.9,,Монолитный,Гостевая,2022,8 128 263
 САО,Зорге,13,3,St Michael,«Зорге 9»,Бизнес,Апартаменты-студия,9,21,Черновая,,26.87,,18.1,Монолитно-кирпичный,"Подземная, гостевая",2023,10 194 540
 СЗАО,Полежаевская,3,3,ГК МИЦ,«Вереск»,Бизнес,Студия,2,21,Без отделки,,30.9,19.3,2.8,Монолитный,"Подземная, гостевая",2023,11 498 392
 СЗАО,Сходненская,3,3,ГК ФСК,«Sky Garden (Скай Гарден)»,Бизнес,Студия,24,30,Предчистовая,,33.5,11.3,,Монолитный,"Подземная, гостевая",2025,11 703 125
 ЗАО,Кунцевская,3,3,Ташир,«West Tower (Апартаменты бизнес-класса) (Вест Тауэр)»,Бизнес,Апартаменты-студия,3,21,С отделкой,,34.7,24.9,,Монолитный,"Подземная, гостевая",2020,11 856 990
 ЮАО,Технопарк,6,3,Группа Эталон,«Nagatino i-Land (Нагатино Ай-Ленд)»,Бизнес,Студия,5,35,Без отделки,,27.2,,,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2026,12 000 855
 ЮАО,Нагатинская,4,3,Prime Life Development,«1-й Нагатинский»,Бизнес,Студия,2,28,Предчистовая,,30.31,14.9,5.1,Монолитный,Подземная,2025,12 796 257
 СВАО,Бутырская,10,3,Sminex-Интеко,«Дом Достижение»,Премиум,Студия,5,26,Без отделки,,30.54,24.0,,Монолитный,Подземная,2024,15 060 000
,,,0,,,,,,,,,,,,,,,
 ЮЗАО,Новые Черёмушки,4,2,Ташир,«ONYX Deluxe (ОНИКС Делюкс)»,Премиум,Студия,2,32,Предчистовая,,45.2,26.5,9.0,Монолитный,"Подземная, гостевая",2021,17 465 280
,,,0,,,,,,,,,,,,,,,
 НАО (Новомосковский),Бунинская аллея,5,3,,«Бунинские кварталы»,,Студия,7,8,Без отделки,,21.0,7.4,6.1,,,2024,5 986 227
 ЦАО,Красные ворота,7,3,ГК Основа,«RED7»,Премиум,Апартаменты-студия,3,19,Чистовая,,54.17,26.3,3.0,Монолитный,"Подземная, гостевая",2023,27 085 000
 СВАО,Балтийская,14,2,ГК Основа,«VERY (Вери)»,Бизнес,Студия,12,31,Черновая,,23.46,16.5,1.9,Монолитно-кирпичный,"Подземная, гостевая",2024,10 416 240
,,,0,,,,,,,,,,,,,,,
 ЗАО,Кунцевская,5,2,ГК Основа,«MainStreet (Мейнстрит)»,Бизнес,Апартаменты-студия,2,9,Неизвестно,,28.0,13.1,3.0,Монолитный,"Подземная, гостевая",2022,11 200 000
,,,0,,,,,,,,,,,,,,,
 НАО (Новомосковский),Филатов Луг,12,3,ГК МИЦ,«Цветочные поляны»,Комфорт,Студия,3,20,Без отделки,,22.31,12.5,4.0,Монолитный,"Отдельная многоуровневая, гостевая",2024,4 299 137
 НАО (Новомосковский),Филатов Луг,12,3,ГК МИЦ,«Цветочные поляны ЭкоПарк»,Комфорт,Студия,6,16,Без отделки,,21.0,9.2,5.0,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2026,4 308 350
 СЗАО,Митино,4,3,ГК МИЦ,«Сити-комплекс Перец»,Бизнес,Апартаменты-студия,12,28,Чистовая,,22.57,,,Монолитный,Гостевая,2023,4 793 008
 НАО (Новомосковский),Ольховая,14,3,Новые Ватутинки,«Новые Ватутинки. Микрорайон Центральный»,Комфорт,Студия,1,8,Чистовая,,22.0,9.5,,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,5 761 800
 НАО (Новомосковский),Ольховая,11,3,Новые Ватутинки,«Новые Ватутинки. Заречный»,Комфорт,Студия,7,12,Без отделки,,28.8,13.4,,Монолитный,"Подземная, гостевая",2025,6 687 360
 САО,Хорошёво,3,3,ГК МИЦ,«Сити-комплекс Мята»,Бизнес,Апартаменты-студия,12,22,Без отделки,,24.7,14.5,3.0,Монолитный,"Подземная, гостевая",2023,10 311 015
 СВАО,ВДНХ,10,3,СЗ Звездный,«Сенатор»,Бизнес,Студия,13,22,Без отделки,,29.9,,5.0,Монолитный,Подземная,2023,14 749 371
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
 ЮЗАО,Бульвар Адмирала Ушакова,5,3,ПИК,«Никольские луга»,Комфорт,Студия,5,9,Чистовая,,20.1,10.0,5.0,Панельный,Отдельная многоуровневая,2024,5 136 666
 НАО (Новомосковский),Бунинская аллея,5,3,ПИК,«Бунинские луга»,Комфорт,Студия,17,17,Чистовая,,19.9,9.8,5.0,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,6 049 799
 ЗАО,Давыдково,5,3,ПИК,«Новое Очаково»,Комфорт,Студия,16,33,Предчистовая,,20.2,9.9,5.2,Монолитный,"Подземная, гостевая",2024,6 249 132
 ЮВАО,Стахановская,3,2,ПИК,«Волжский парк»,Комфорт,Студия,7,17,Чистовая,,20.1,9.8,5.2,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024,6 376 544
 СВАО,Окружная,3,3,ПИК,«Сигнальный 16»,Комфорт,Студия,13,33,Чистовая,,19.8,9.7,5.1,Монолитный,"Подземная, гостевая",2025,6 531 346
 ВАО,Сокольники,3,2,ПИК,«Сокольнический вал 1»,Комфорт,Апартаменты-студия,21,21,Чистовая,,21.6,10.7,5.9,Монолитный,-,2023,6 634 872
 ЮАО,Красный Строитель,6,3,ПИК,«Ютаново»,Комфорт,Студия,20,33,Чистовая,,20.0,9.8,5.1,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024,6 760 940
 СВАО,Медведково,5,3,Upside Development,«Clementine (Клементин)»,Комфорт,апартаменты,5,8,Чистовая,1,35.22,12.5,15.5,Монолитный,Гостевая,2024,6 941 862
 ВАО,Измайлово,8,3,ГК Новая Жизнь,«Апартаменты Измайловский парк»,Бизнес,апартаменты,19,24,Чистовая,1,18.77,,,Монолитно-кирпичный,"Подземная, гостевая",2023,7 095 060
 ЮВАО,Окская,9,3,ПИК,«Михайловский парк»,Комфорт,Студия,22,33,Чистовая,,23.95,13.3,5.0,Монолитный,"Подземная, гостевая",2024,7 242 336
 ЮВАО,Дубровка,4,3,MR Group,«Метрополия»,Бизнес,Апартаменты-студия,6,8,Предчистовая,,22.5,,14.4,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,7 158 715
 НАО (Новомосковский),Улица Горчакова,7,3,А101,«Скандинавия»,Комфорт,квартира,8,14,Без отделки,1,23.7,,,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,7 528 943
 ЮВАО,Марьино,3,3,Seven Suns Development,«Светлый мир Станция Л»,Комфорт,квартира,20,25,Чистовая,1,34.64,10.8,12.6,Монолитный,Гостевая,2024,7 646 780
 САО,Коптево,5,3,ПИК,«Кронштадтский 14»,Комфорт,Студия,15,33,Чистовая,,20.1,9.9,5.2,Монолитный,"Подземная, гостевая",2024,7 953 931
 СЗАО,Спартак,5,3,ПИК,«Holland park (Холланд парк)»,Комфорт,Студия,12,24,Без отделки,,22.5,10.0,5.3,Монолитный,"Подземная, гостевая",2024,8 008 290
 ЮВАО,Братиславская,3,3,ПИК,«Люблинский парк»,Комфорт,квартира,16,16,Чистовая,1,32.2,16.1,9.4,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,8 052 447
 ЮВАО,Братиславская,3,3,ПИК,«Люблинский парк»,Комфорт,квартира,22,25,Чистовая,2,32.2,19.7,5.8,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,8 065 456
 СВАО,Медведково,5,3,Upside Development,«Clementine (Клементин)»,Комфорт,апартаменты,5,8,Чистовая,1,35.22,12.5,15.5,Монолитный,Гостевая,2024,6 941 862
 ВАО,Измайлово,8,3,ГК Новая Жизнь,«Апартаменты Измайловский парк»,Бизнес,апартаменты,19,24,Чистовая,1,18.77,,,Монолитно-кирпичный,"Подземная, гостевая",2023,7 095 060
 ЮВАО,Окская,9,3,ПИК,«Михайловский парк»,Комфорт,Студия,22,33,Чистовая,,23.95,13.3,5.0,Монолитный,"Подземная, гостевая",2024,7 242 336
 ЮВАО,Дубровка,4,3,MR Group,«Метрополия»,Бизнес,Апартаменты-студия,6,8,Предчистовая,,22.5,,14.4,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,7 158 715
 НАО (Новомосковский),Улица Горчакова,7,3,А101,«Скандинавия»,Комфорт,квартира,8,14,Без отделки,1,23.7,,,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,7 528 943
 ЮВАО,Марьино,3,3,Seven Suns Development,«Светлый мир Станция Л»,Комфорт,квартира,20,25,Чистовая,1,34.64,10.8,12.6,Монолитный,Гостевая,2024,7 646 780
 САО,Коптево,5,3,ПИК,«Кронштадтский 14»,Комфорт,Студия,15,33,Чистовая,,20.1,9.9,5.2,Монолитный,"Подземная, гостевая",2024,7 953 931
 СЗАО,Спартак,5,3,ПИК,«Holland park (Холланд парк)»,Комфорт,Студия,12,24,Без отделки,,22.5,10.0,5.3,Монолитный,"Подземная, гостевая",2024,8 008 290
 ЮВАО,Братиславская,3,3,ПИК,«Люблинский парк»,Комфорт,квартира,16,16,Чистовая,1,32.2,16.1,9.4,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,8 052 447
 ЮВАО,Братиславская,3,3,ПИК,«Люблинский парк»,Комфорт,квартира,22,25,Чистовая,2,32.2,19.7,5.8,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,8 065 456
 НАО (Новомосковский),Бунинская аллея,5,3,ПИК,«Бунинские луга»,Комфорт,квартира,2,17,Чистовая,1,32.5,12.5,10.5,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,8 179 990
 СЗАО,Спартак,5,3,ПИК,«Holland park (Холланд парк)»,Комфорт,Студия,11,13,Без отделки,,24.1,11.0,5.5,Монолитный,"Подземная, гостевая",2024,8 397 645
 СВАО,Медведково,5,3,Upside Development,«Clementine (Клементин)»,Комфорт,апартаменты,8,8,Чистовая,1,36.76,12.3,17.9,Монолитный,Гостевая,2024,8 300 408
 САО,Марк,4,3,ПИК,«Дмитровский парк»,Комфорт,Студия,32,33,Неизвестно,,25.52,12.2,6.5,Монолитный,"Подземная, гостевая",2023,8 398 168
 ЮВАО,Марьино,3,3,Seven Suns Development,«Светлый мир Станция Л»,Комфорт,квартира,14,25,Чистовая,1,38.39,11.1,15.0,Монолитный,Гостевая,2024,8 405 491
 ЮВАО,Братиславская,2,3,ПИК,«Люблинский парк»,Комфорт,квартира,17,33,Чистовая,2,32.6,20.0,5.7,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,8 452 104
 САО,Марк,4,3,ПИК,«Дмитровский парк»,Комфорт,Студия,33,33,Чистовая,,20.11,12.2,2.7,Монолитный,"Подземная, гостевая",2023,8 426 709
 ВАО,Измайлово,8,3,ГК Новая Жизнь,«Апартаменты Измайловский парк»,Бизнес,апартаменты,20,24,Чистовая,1,25.09,,,Монолитно-кирпичный,"Подземная, гостевая",2023,8 500 492
 ЮВАО,Люблино,5,3,ПИК,«Люблинский парк»,Комфорт,квартира,9,15,Чистовая,1,31.8,12.2,10.1,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,8 614 047
 СВАО,Окружная,3,3,ПИК,«Сигнальный 16»,Комфорт,квартира,11,33,Чистовая,1,32.1,12.4,10.5,Монолитный,"Подземная, гостевая",2025,8 584 503
 ЮВАО,Братиславская,3,3,ПИК,«Люблинский парк»,Комфорт,квартира,5,16,Чистовая,1,35.8,10.5,17.2,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,8 681 535
 СВАО,Алтуфьево,5,3,ПИК,«Полар»,Комфорт,квартира,32,32,Чистовая,1,35.2,9.9,16.7,Монолитный,"Подземная, гостевая",2025,8 799 120
 ЗАО,Давыдково,5,3,ПИК,«Новое Очаково»,Комфорт,квартира,18,33,Предчистовая,1,32.3,9.4,16.3,Монолитный,"Подземная, гостевая",2024,8 778 849
 ЗАО,Солнцево,4,3,ПИК,«Мещерский лес»,Комфорт,Студия,19,21,Чистовая,,21.8,10.1,5.7,"Панельный, кирпичный","Подземная, отдельная многоуровневая",2022,8 752 700
 НАО (Новомосковский),Бунинская аллея,5,3,,«Бунинские кварталы»,,квартира,9,9,Без отделки,1,36.2,14.2,11.2,,,2024,8 868 888
 САО,Водники,12,3,ДСК-1,«Первый Ленинградский»,Комфорт,квартира,2,13,Чистовая,1,38.0,14.1,10.9,Панельный,"Отдельная многоуровневая, гостевая",2023,8 866 692
 ЮВАО,Стахановская,3,2,ПИК,«Волжский парк»,Комфорт,квартира,5,17,Чистовая,2,32.5,20.0,4.4,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024,8 859 467
