Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена
 СЗАО,Молодёжная,3,3,ДОНСТРОЙ,«Остров»,Бизнес,квартира,4,12,Чистовая с мебелью,2,62.8,24.2,20.7,Монолитный,"Подземная, гостевая",2024,34 025 040
 САО,Савёловская,3,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,квартира,11,54,Предчистовая,3,92.88,35.5,5.2,Монолитный,"Подземная, гостевая",2025,32 558 228
 СВАО,Марьина роща,17,2,Компания Пионер,«PRIDE (Прайд)»,Премиум,квартира,3,9,Без отделки,3,83.8,,,Монолитный,Подземная,2025,33 862 909
 САО,Савёловская,3,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,квартира,28,54,Предчистовая,2,67.87,24.7,7.3,Монолитный,"Подземная, гостевая",2025,26 021 283
 СЗАО,Трикотажная,4,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,2,26,Черновая,2,72.87,,,Монолитно-кирпичный,"Подземная, гостевая",2023,24 365 800
 СЗАО,Трикотажная,4,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,2,26,Черновая,3,88.48,,,Монолитно-кирпичный,"Подземная, гостевая",2023,29 237 300
,,,0,,,,,,,,,,,,,,,
 СВАО,Марьина роща,17,2,Компания Пионер,«PRIDE (Прайд)»,Премиум,квартира,4,9,Чистовая,2,45.3,,,Монолитный,Подземная,2025,25 330 627
 ЗАО,Фили,5,3,MR Group,«Famous (Феймос)»,Премиум,квартира,32,57,Предчистовая,2,63.85,,,Монолитно-кирпичный,"Подземная, гостевая",2023,32 954 894
 СВАО,Марьина роща,17,2,Компания Пионер,«PRIDE (Прайд)»,Премиум,квартира,5,22,Без отделки,1,32.2,,,Монолитный,Подземная,2025,16 106 665
 ЗАО,Фили,5,3,MR Group,«Famous (Феймос)»,Премиум,квартира,2,57,Предчистовая,1,37.25,,,Монолитно-кирпичный,"Подземная, гостевая",2023,20 126 491
 ВАО,Семёновская,3,3,,«Преображенская площадь»,,квартира,3,17,Без отделки,2,64.33,,,,,2024,27 424 282
,,,0,,,,,,,,,,,,,,,
 САО,Ховрино,4,3,Wainbridge,«Aquatoria (Акватория)»,Бизнес,квартира,14,20,Чистовая,2,63.7,,,Монолитно-кирпичный,"Подземная, гостевая",2023,27 500 000
 САО,Белорусская,3,3,MR Group,«Комплекс апартаментов Slava (Слава)»,Премиум,Апартаменты-студия,6,15,Предчистовая,,30.9,,,Монолитно-кирпичный,"Подземная, гостевая",2023,19 776 000
,,,0,,,,,,,,,,,,,,,
 ЮАО,Технопарк,5,3,Regions Development,«Dream Towers (Дрим Тауэрс)»,Премиум,квартира,8,24,Без отделки,2,72.39,,,Монолитный,Подземная,2023,33 270 092
,,,0,,,,,,,,,,,,,,,
 СЗАО,Шелепиха,10,2,Level Group,«Level Причальный (Левел Причальный)»,Бизнес,квартира,2,32,Без отделки,4,87.5,67.3,4.3,"Монолитно-кирпичный, монолитный",Подземная,2023,28 515 229
 Красногорск,Аникеевка,5,3,,«8 кленов»,,квартира,1,6,Без отделки,4,108.2,,,,,2024,20 321 846
 СЗАО,Трикотажная,4,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,2,26,Неизвестно,1,48.06,,,Монолитно-кирпичный,"Подземная, гостевая",2023,16 122 800
 САО,Тимирязевская,3,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,квартира,2,36,Чистовая,1,37.62,12.8,3.1,Монолитный,"Подземная, гостевая",2025,18 472 662
 ЗАО,Раменки,2,3,Level Group,«Level Мичуринский»,Бизнес,квартира,35,54,Без отделки,3,60.9,43.2,5.4,Монолитный,"Подземная, гостевая",2025,25 550 055
 САО,Красный Балтиец,4,3,,«SOUL (Соул)»,,квартира,3,21,Предчистовая,2,66.2,26.2,20.3,,,2025,25 418 549
 САО,Водный стадион,3,3,РГ-Девелопмент,«Михалковский»,Комфорт,квартира,15,20,Без отделки,3,80.5,46.2,14.2,Монолитный,Подземная,2023,25 824 400
 ЮАО,Технопарк,5,3,Regions Development,«Dream Towers (Дрим Тауэрс)»,Премиум,квартира,3,24,Без отделки,1,57.01,,,Монолитный,Подземная,2023,25 865 460
 СЗАО,Сходненская,3,3,ГК ФСК,«Sky Garden (Скай Гарден)»,Бизнес,квартира,22,30,Предчистовая,4,110.0,61.0,15.2,Монолитный,"Подземная, гостевая",2025,26 636 775
 СЗАО,Волоколамская,2,3,MR Group,«City Bay (Сити Бэй)»,Бизнес,квартира,3,20,Предчистовая,4,108.08,59.6,,Монолитный,Подземная,2023,29 639 953
 САО,Беговая,13,3,Э.К. Девелопмент,«Авиатика»,Комфорт,квартира,13,25,Чистовая,3,85.1,,,Панельный,Подземная,2022,31 487 000
 НАО (Новомосковский),Филатов Луг,5,3,А101,«Прокшино»,Бизнес,квартира,7,16,Без отделки,3,74.3,38.2,14.0,Монолитный,"Подземная, гостевая",2024,14 228 618
 НАО (Новомосковский),Бульвар Адмирала Ушакова,6,3,А101,«Скандинавия»,Комфорт,квартира,16,16,Без отделки,3,72.1,36.4,13.1,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,17 288 018
 НАО (Новомосковский),Рассказовка,7,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,квартира,2,20,Без отделки,4,108.2,66.4,,"Панельный, монолитный",Гостевая,2024,18 229 588
