Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена,Цена за 1 кв.м
 САО,Савёловская,3.0,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,квартира,11.0,54.0,Предчистовая,3.0,92.88,35.5,5.2,Монолитный,"Подземная, гостевая",2025.0,32558228,350540.7838070629
 САО,Савёловская,3.0,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,квартира,28.0,54.0,Предчистовая,2.0,67.87,24.7,7.3,Монолитный,"Подземная, гостевая",2025.0,26021283,383398.8949462207
 СЗАО,Трикотажная,4.0,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,2.0,26.0,Черновая,2.0,72.87,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,24365800,334373.5419239742
 СЗАО,Трикотажная,4.0,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,2.0,26.0,Черновая,3.0,88.48,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,29237300,330439.6473779385
 ЮАО,Технопарк,5.0,3,Regions Development,«Dream Towers (Дрим Тауэрс)»,Премиум,квартира,8.0,24.0,Без отделки,2.0,72.39,20.333629300776895,11.724697336561748,Монолитный,Подземная,2023.0,33270092,459595.137449924
 Красногорск,Аникеевка,5.0,3,,«8 кленов»,,квартира,1.0,6.0,Без отделки,4.0,108.2,20.333629300776895,11.724697336561748,,,2024.0,20321846,187817.43068391868
 ЗАО,Раменки,2.0,3,Level Group,«Level Мичуринский»,Бизнес,квартира,35.0,54.0,Без отделки,3.0,60.9,43.2,5.4,Монолитный,"Подземная, гостевая",2025.0,25550055,419541.13300492615
 САО,Красный Балтиец,4.0,3,,«SOUL (Соул)»,,квартира,3.0,21.0,Предчистовая,2.0,66.2,26.2,20.3,,,2025.0,25418549,383965.99697885197
 САО,Водный стадион,3.0,3,РГ-Девелопмент,«Михалковский»,Комфорт,квартира,15.0,20.0,Без отделки,3.0,80.5,46.2,14.2,Монолитный,Подземная,2023.0,25824400,320800.0
 ЮАО,Технопарк,5.0,3,Regions Development,«Dream Towers (Дрим Тауэрс)»,Премиум,квартира,3.0,24.0,Без отделки,1.0,57.01,20.333629300776895,11.724697336561748,Монолитный,Подземная,2023.0,25865460,453700.4034379934
 СЗАО,Сходненская,3.0,3,ГК ФСК,«Sky Garden (Скай Гарден)»,Бизнес,квартира,22.0,30.0,Предчистовая,4.0,110.0,61.0,15.2,Монолитный,"Подземная, гостевая",2025.0,26636775,242152.5
 СЗАО,Волоколамская,2.0,3,MR Group,«City Bay (Сити Бэй)»,Бизнес,квартира,3.0,20.0,Предчистовая,4.0,108.08,59.6,11.724697336561748,Монолитный,Подземная,2023.0,29639953,274240.8678756477
 САО,Беговая,13.0,3,Э.К. Девелопмент,«Авиатика»,Комфорт,квартира,13.0,25.0,Чистовая,3.0,85.1,20.333629300776895,11.724697336561748,Панельный,Подземная,2022.0,31487000,370000.0
 НАО (Новомосковский),Филатов Луг,5.0,3,А101,«Прокшино»,Бизнес,квартира,7.0,16.0,Без отделки,3.0,74.3,38.2,14.0,Монолитный,"Подземная, гостевая",2024.0,14228618,191502.26110363394
 НАО (Новомосковский),Бульвар Адмирала Ушакова,6.0,3,А101,«Скандинавия»,Комфорт,квартира,16.0,16.0,Без отделки,3.0,72.1,36.4,13.1,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023.0,17288018,239778.33564493762
 НАО (Новомосковский),Рассказовка,7.0,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,квартира,2.0,20.0,Без отделки,4.0,108.2,66.4,11.724697336561748,"Панельный, монолитный",Гостевая,2024.0,18229588,168480.4805914972
 СЗАО,Мнёвники,4.0,3,,«Wellton Gold (Веллтон Голд)»,,апартаменты,4.0,21.0,Без отделки,3.0,74.4,48.5,10.6,,,2022.0,19790400,266000.0
 СЗАО,Панфиловская,4.0,3,РГ-Девелопмент,«Октябрьское поле»,Комфорт,квартира,18.0,25.0,Чистовая,3.0,83.0,39.8,14.6,"Панельный, монолитный","Подземная, гостевая",2023.0,26726000,322000.0
 СЗАО,Хорошёво,3.0,3,ГК МИЦ,«Вереск»,Бизнес,квартира,8.0,21.0,Без отделки,4.0,96.4,64.1,6.2,Монолитный,"Подземная, гостевая",2023.0,33509966,347613.755186722
 ЦАО,Электрозаводская,15.0,2,Level Group,«Level Бауманская»,Бизнес,квартира,3.0,17.0,Без отделки,4.0,95.8,51.6,21.7,Монолитный,Подземная,2025.0,34158025,356555.58455114823
 СВАО,Бутырская,10.0,3,Sminex-Интеко,«Дом Достижение»,Премиум,квартира,18.0,21.0,Без отделки,4.0,80.02,51.4,3.0,Монолитный,Подземная,2024.0,34620000,432641.839540115
 САО,Гражданская,10.0,3,РГ-Девелопмент,«Петровский парк II»,Бизнес,квартира,3.0,15.0,Без отделки,3.0,74.4,49.7,6.6,Монолитный,Подземная,2025.0,24849600,334000.0
 ЗАО,Фили,10.0,3,Аеон Девелопмент,«River Park Towers Кутузовский (Ривер Парк Тауэрс Кутузовский)»,Премиум,Студия,3.0,46.0,Черновая,1.0,40.5,20.333629300776895,11.724697336561748,Монолитно-кирпичный,Подземная,2026.0,25386604,626829.7283950617
 ЮАО,Шаболовская,4.0,3,СЗ Логос,«Logos (Логос)»,Премиум,апартаменты,3.0,13.0,Предчистовая,2.0,62.7,43.1,5.4,Монолитно-кирпичный,Подземная,2024.0,28765486,458779.6810207336
