Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена,Цена за 1 кв.м
 ЮАО,Нагатинская,4.0,3,,,,квартира,2.0,28.0,Предчистовая,2.0,58.6,26.0,15.7,,,2025.0,21066474,359496.1433447099
 ЮЗАО,Новые Черёмушки,4.0,2,Ташир,«ONYX Deluxe (ОНИКС Делюкс)»,Премиум,квартира,30.0,32.0,Предчистовая,1.0,43.5,18.5,12.6,Монолитный,"Подземная, гостевая",2021.0,21402000,492000.0
 СВАО,Алексеевская,11.0,3,КОРТРОС,«iLove (АйЛав)»,Бизнес,квартира,3.0,24.0,Без отделки,2.0,51.43,38.6,11.724697336561748,Монолитный,"Подземная, гостевая",2024.0,21754890,423000.0
 СВАО,Бутырская,10.0,3,Sminex-Интеко,«Дом Достижение»,Премиум,квартира,13.0,21.0,Без отделки,2.0,59.5,25.3,12.8,Монолитный,Подземная,2024.0,26190000,440168.06722689077
 НАО (Новомосковский),Ольховая,11.0,3,Новые Ватутинки,«Новые Ватутинки. Заречный»,Комфорт,квартира,2.0,14.0,Чистовая,1.0,41.2,20.3,11.724697336561748,Монолитный,"Подземная, гостевая",2025.0,7584920,184100.0
 НАО (Новомосковский),Ольховая,14.0,3,Новые Ватутинки,«Новые Ватутинки. Микрорайон Центральный»,Комфорт,квартира,8.0,8.0,Чистовая,1.0,31.7,14.9,11.724697336561748,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,8309077,262115.99369085173
 НАО (Новомосковский),Филатов Луг,4.0,3,,«Прокшино»,,Студия,4.0,18.0,Предчистовая,1.0,21.5,9.0,5.4,,,2024.0,8630207,401404.9767441861
 НАО (Новомосковский),Ольховая,9.0,3,Новые Ватутинки,«Новые Ватутинки. Десна»,Комфорт,квартира,15.0,15.0,Чистовая,1.0,37.8,18.3,11.724697336561748,"Панельный, монолитный","Подземная, гостевая",2022.0,8797000,232724.86772486774
 НАО (Новомосковский),Бунинская аллея,5.0,3,,«Бунинские кварталы»,,квартира,15.0,16.0,Неизвестно,1.0,35.9,14.1,11.1,,,2024.0,8823655,245784.2618384401
 ЮЗАО,Бульвар Адмирала Ушакова,5.0,3,А101,«Южные сады»,Комфорт,квартира,2.0,30.0,Без отделки,1.0,35.6,12.1,12.9,Монолитный,"Подземная, гостевая",2025.0,9100013,255618.3426966292
 ЮВАО,Люблино,3.0,3,,«Графика на воде»,,квартира,2.0,17.0,Без отделки,1.0,32.7,10.7,10.0,,,2024.0,9509160,290800.0
 НАО (Новомосковский),Ольховая,5.0,3,А101,«Скандинавия»,Комфорт,квартира,3.0,14.0,Предчистовая,1.0,35.1,15.8,12.4,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024.0,9536109,271684.01709401706
 ЮВАО,Лухмановская,2.0,3,Группа Самолет,«Квартал Некрасовка»,Комфорт,квартира,15.0,23.0,Чистовая,1.0,38.5,17.2,11.724697336561748,Монолитный,Гостевая,2021.0,9600914,249374.3896103896
 НАО (Новомосковский),Рассказовка,7.0,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,квартира,17.0,21.0,Чистовая,1.0,37.7,13.6,11.724697336561748,"Панельный, монолитный",Гостевая,2024.0,10015066,265651.6180371353
 НАО (Новомосковский),Ольховая,9.0,3,Новые Ватутинки,«Новые Ватутинки. Десна»,Комфорт,квартира,2.0,14.0,Чистовая,2.0,52.6,32.7,11.724697336561748,"Панельный, монолитный","Подземная, гостевая",2022.0,11469910,218059.12547528517
 СЗАО,Волоколамская,2.0,3,MR Group,«City Bay (Сити Бэй)»,Бизнес,квартира,6.0,53.0,Предчистовая,1.0,37.6,20.333629300776895,11.724697336561748,Монолитный,Подземная,2025.0,11718704,311667.6595744681
 ЮВАО,Люблино,3.0,3,,«Графика на воде»,,квартира,2.0,17.0,Без отделки,2.0,47.8,24.0,10.4,,,2024.0,11981070,250650.00000000003
 САО,Хорошёво,3.0,3,ГК МИЦ,«Сити-комплекс Мята»,Бизнес,апартаменты,12.0,22.0,Без отделки,1.0,37.9,13.7,11.724697336561748,Монолитный,"Подземная, гостевая",2023.0,13534090,357100.0
 ЗАО,Кунцевская,5.0,2,ГК Основа,«MainStreet (Мейнстрит)»,Бизнес,апартаменты,14.0,29.0,Неизвестно,1.0,42.3,14.0,13.9,Монолитный,"Подземная, гостевая",2022.0,15869056,375154.9881796691
 ЮАО,Коломенская,4.0,3,Аеон Девелопмент,«Ривер Парк Коломенское»,Бизнес,квартира,2.0,19.0,Без отделки,1.0,37.0,19.2,9.6,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024.0,15762000,426000.0
 СВАО,Алексеевская,11.0,3,КОРТРОС,«iLove (АйЛав)»,Бизнес,квартира,12.0,34.0,Без отделки,1.0,46.0,34.5,11.724697336561748,Монолитный,"Подземная, гостевая",2022.0,16500000,358695.652173913
 СВАО,Балтийская,14.0,2,ГК Основа,«VERY (Вери)»,Бизнес,квартира,11.0,31.0,Черновая,2.0,39.7,30.5,4.2,Монолитно-кирпичный,"Подземная, гостевая",2024.0,16773250,422499.99999999994
 ЮАО,Варшавская,5.0,3,Prime Life Development,«1-й Нагатинский»,Бизнес,квартира,11.0,25.0,Предчистовая,1.0,39.69,12.0,16.6,Монолитный,Подземная,2025.0,16968545,427526.9589317209
 СВАО,Бутырская,10.0,3,Sminex-Интеко,«Дом Достижение»,Премиум,квартира,2.0,28.0,Без отделки,1.0,40.47,11.1,17.4,Монолитный,Подземная,2024.0,17030000,420805.534964171
 САО,Зорге,13.0,3,St Michael,«Зорге 9»,Бизнес,апартаменты,17.0,21.0,Черновая,1.0,35.58,11.7,16.7,Монолитно-кирпичный,"Подземная, гостевая",2023.0,18512640,520310.28667790897
 СЗАО,Полежаевская,3.0,3,ГК МИЦ,«Вереск»,Бизнес,квартира,12.0,21.0,Без отделки,1.0,49.6,20.6,17.7,Монолитный,"Подземная, гостевая",2023.0,18898902,381026.25
 ЗАО,Кунцевская,5.0,2,ГК Основа,«MainStreet (Мейнстрит)»,Бизнес,апартаменты,2.0,29.0,Неизвестно,2.0,66.4,31.5,12.4,Монолитный,"Подземная, гостевая",2022.0,19256000,290000.0
 СВАО,ВДНХ,10.0,3,СЗ Звездный,«Сенатор»,Бизнес,квартира,6.0,22.0,Без отделки,1.0,48.6,20.333629300776895,17.8,Монолитный,Подземная,2023.0,20609073,424055.0
 ЮАО,Коломенская,4.0,3,Аеон Девелопмент,«Ривер Парк Коломенское»,Бизнес,квартира,2.0,19.0,Без отделки,2.0,53.0,33.9,9.5,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024.0,21132690,398730.0
 САО,Хорошёвская,2.0,3,St Michael,«Зорге 9»,Бизнес,апартаменты,9.0,21.0,Черновая,2.0,54.61,22.5,19.1,Монолитно-кирпичный,"Подземная, гостевая",2023.0,23508940,430487.82274308737
 ЮАО,Технопарк,6.0,3,Группа Эталон,«Nagatino i-Land (Нагатино Ай-Ленд)»,Бизнес,квартира,3.0,35.0,Без отделки,2.0,67.7,20.333629300776895,11.724697336561748,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2026.0,23775373,351187.19350073853
 ЦАО,Серпуховская,9.0,3,,«Sky House (Скай Хаус)»,,квартира,26.0,29.0,Без отделки,2.0,68.5,20.333629300776895,11.724697336561748,,,2020.0,31855582,465044.9927007299
 НАО (Новомосковский),Филатов Луг,12.0,3,ГК МИЦ,«Цветочные поляны»,Комфорт,квартира,9.0,13.0,Без отделки,1.0,28.98,10.0,8.9,Монолитный,"Отдельная многоуровневая, гостевая",2024.0,5346810,184500.0
 НАО (Новомосковский),Филатов Луг,12.0,3,ГК МИЦ,«Цветочные поляны ЭкоПарк»,Комфорт,квартира,10.0,16.0,Без отделки,1.0,27.1,9.6,8.1,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2026.0,5501869,203020.99630996308
 НАО (Новомосковский),Филатов Луг,12.0,3,ГК МИЦ,«Цветочные поляны»,Комфорт,квартира,3.0,20.0,Без отделки,2.0,43.95,22.6,11.4,Монолитный,"Отдельная многоуровневая, гостевая",2024.0,6445268,146650.01137656427
 СЗАО,Митино,4.0,3,ГК МИЦ,«Сити-комплекс Перец»,Бизнес,апартаменты,24.0,28.0,Чистовая,2.0,46.58,13.6,11.724697336561748,Монолитный,Гостевая,2023.0,7999826,171743.79562043797
 НАО (Новомосковский),Ольховая,11.0,3,Новые Ватутинки,«Новые Ватутинки. Заречный»,Комфорт,квартира,5.0,14.0,Чистовая,2.0,54.5,34.0,11.724697336561748,Монолитный,"Подземная, гостевая",2025.0,9859050,180900.0
 НАО (Новомосковский),Ольховая,14.0,3,Новые Ватутинки,«Новые Ватутинки. Микрорайон Центральный»,Комфорт,квартира,8.0,8.0,Чистовая,2.0,51.1,29.4,11.724697336561748,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,11308226,221296.00782778865
 САО,Хорошёво,3.0,3,ГК МИЦ,«Сити-комплекс Мята»,Бизнес,апартаменты,4.0,22.0,Без отделки,2.0,45.9,27.3,10.7,Монолитный,"Подземная, гостевая",2023.0,14137200,308000.0
 ЮЗАО,Академическая,1.0,3,Level Group,«Level Академическая»,Бизнес,Студия,6.0,19.0,Без отделки,1.0,25.0,15.5,2.9,Монолитный,Гостевая,2025.0,15183293,607331.72
 ЮВАО,Угрешская,4.0,3,Колди (Coldy),«N’ice Loft»,Бизнес,Апартаменты-студия,11.0,21.0,Без отделки,2.0,17.83,20.333629300776895,11.724697336561748,Монолитно-кирпичный,Подземная,2024.0,5562960,312000.00000000006
 НАО (Новомосковский),Филатов Луг,12.0,3,ГК МИЦ,«Цветочные поляны ЭкоПарк»,Комфорт,квартира,2.0,16.0,Без отделки,2.0,38.6,16.8,5.0,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,6029378,156201.50259067357
 НАО (Новомосковский),Саларьево,6.0,3,А101,«Испанские кварталы»,Комфорт,Студия,7.0,9.0,Чистовая,1.0,21.1,8.8,5.4,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023.0,7156625,339176.5402843602
 НАО (Новомосковский),Тропарёво,5.0,3,ГК ФСК,«Движение.Говорово Апарт-комплекс»,Комфорт,Апартаменты-студия,2.0,15.0,Чистовая,2.0,21.34,10.8,11.724697336561748,"Монолитно-кирпичный, монолитный",Гостевая,2025.0,7186668,336769.82193064666
 САО,Гражданская,10.0,3,РГ-Девелопмент,«Петровский парк II»,Бизнес,Студия,2.0,25.0,Без отделки,1.0,27.6,8.8,6.1,Монолитный,Подземная,2025.0,10234080,370800.0
 ВАО,Преображенская площадь,6.0,3,,«Апартаменты Берег Яузы»,,Апартаменты-студия,3.0,3.0,Чистовая,2.0,28.1,20.333629300776895,11.724697336561748,,,2022.0,8430000,300000.0
 ЮАО,Аннино,3.0,3,РГ-Девелопмент,«МФК Варшавские ворота»,Комфорт,Апартаменты-студия,2.0,9.0,Без отделки,2.0,24.6,13.6,6.0,Монолитный,Подземная,2025.0,5658000,230000.0
 НАО (Новомосковский),Улица Скобелевская,5.0,3,А101,«Скандинавия»,Комфорт,Студия,5.0,14.0,Без отделки,1.0,22.9,10.1,6.1,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024.0,6836344,298530.3056768559
 ЮЗАО,Бульвар Адмирала Ушакова,4.0,3,А101,«Южные сады»,Комфорт,Студия,3.0,30.0,Без отделки,1.0,22.4,7.6,5.0,Монолитный,"Подземная, гостевая",2025.0,7195321,321219.6875
 НАО (Новомосковский),Рассказовка,5.0,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,Студия,17.0,22.0,Без отделки,1.0,32.3,16.6,11.724697336561748,"Панельный, монолитный",Гостевая,2024.0,7334834,227084.64396284832
 НАО (Новомосковский),Рассказовка,2.0,3,Абсолют Недвижимость,«Переделкино Ближнее Город-парк»,Комфорт,Студия,10.0,17.0,Без отделки,1.0,28.4,12.7,11.724697336561748,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,7763613,273366.6549295775
 СЗАО,Волоколамская,2.0,3,MR Group,«City Bay (Сити Бэй)»,Бизнес,Студия,15.0,53.0,Предчистовая,1.0,21.9,1.2,15.7,Монолитный,Подземная,2025.0,7974587,364136.39269406395
 ЮВАО,Лухмановская,3.0,3,Группа Самолет,«Квартал Некрасовка»,Комфорт,Студия,11.0,23.0,Чистовая,1.0,26.8,15.9,11.724697336561748,Монолитный,Гостевая,2022.0,8128263,303293.39552238805
 САО,Зорге,13.0,3,St Michael,«Зорге 9»,Бизнес,Апартаменты-студия,9.0,21.0,Черновая,2.0,26.87,20.333629300776895,18.1,Монолитно-кирпичный,"Подземная, гостевая",2023.0,10194540,379402.307406029
 СЗАО,Полежаевская,3.0,3,ГК МИЦ,«Вереск»,Бизнес,Студия,2.0,21.0,Без отделки,1.0,30.9,19.3,2.8,Монолитный,"Подземная, гостевая",2023.0,11498392,372116.2459546926
 СЗАО,Сходненская,3.0,3,ГК ФСК,«Sky Garden (Скай Гарден)»,Бизнес,Студия,24.0,30.0,Предчистовая,1.0,33.5,11.3,11.724697336561748,Монолитный,"Подземная, гостевая",2025.0,11703125,349347.01492537314
 ЗАО,Кунцевская,3.0,3,Ташир,«West Tower (Апартаменты бизнес-класса) (Вест Тауэр)»,Бизнес,Апартаменты-студия,3.0,21.0,С отделкой,2.0,34.7,24.9,11.724697336561748,Монолитный,"Подземная, гостевая",2020.0,11856990,341700.0
 ЮАО,Технопарк,6.0,3,Группа Эталон,«Nagatino i-Land (Нагатино Ай-Ленд)»,Бизнес,Студия,5.0,35.0,Без отделки,1.0,27.2,20.333629300776895,11.724697336561748,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2026.0,12000855,441207.9044117647
 ЮАО,Нагатинская,4.0,3,Prime Life Development,«1-й Нагатинский»,Бизнес,Студия,2.0,28.0,Предчистовая,1.0,30.31,14.9,5.1,Монолитный,Подземная,2025.0,12796257,422179.3797426592
 СВАО,Бутырская,10.0,3,Sminex-Интеко,«Дом Достижение»,Премиум,Студия,5.0,26.0,Без отделки,1.0,30.54,24.0,11.724697336561748,Монолитный,Подземная,2024.0,15060000,493123.77210216114
 ЮЗАО,Новые Черёмушки,4.0,2,Ташир,«ONYX Deluxe (ОНИКС Делюкс)»,Премиум,Студия,2.0,32.0,Предчистовая,1.0,45.2,26.5,9.0,Монолитный,"Подземная, гостевая",2021.0,17465280,386400.0
 НАО (Новомосковский),Бунинская аллея,5.0,3,,«Бунинские кварталы»,,Студия,7.0,8.0,Без отделки,1.0,21.0,7.4,6.1,,,2024.0,5986227,285058.4285714286
 ЦАО,Красные ворота,7.0,3,ГК Основа,«RED7»,Премиум,Апартаменты-студия,3.0,19.0,Чистовая,2.0,54.17,26.3,3.0,Монолитный,"Подземная, гостевая",2023.0,27085000,500000.0
 СВАО,Балтийская,14.0,2,ГК Основа,«VERY (Вери)»,Бизнес,Студия,12.0,31.0,Черновая,1.0,23.46,16.5,1.9,Монолитно-кирпичный,"Подземная, гостевая",2024.0,10416240,444000.0
 ЗАО,Кунцевская,5.0,2,ГК Основа,«MainStreet (Мейнстрит)»,Бизнес,Апартаменты-студия,2.0,9.0,Неизвестно,2.0,28.0,13.1,3.0,Монолитный,"Подземная, гостевая",2022.0,11200000,400000.0
 НАО (Новомосковский),Филатов Луг,12.0,3,ГК МИЦ,«Цветочные поляны»,Комфорт,Студия,3.0,20.0,Без отделки,1.0,22.31,12.5,4.0,Монолитный,"Отдельная многоуровневая, гостевая",2024.0,4299137,192700.0
 НАО (Новомосковский),Филатов Луг,12.0,3,ГК МИЦ,«Цветочные поляны ЭкоПарк»,Комфорт,Студия,6.0,16.0,Без отделки,1.0,21.0,9.2,5.0,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2026.0,4308350,205159.52380952382
 СЗАО,Митино,4.0,3,ГК МИЦ,«Сити-комплекс Перец»,Бизнес,Апартаменты-студия,12.0,28.0,Чистовая,2.0,22.57,20.333629300776895,11.724697336561748,Монолитный,Гостевая,2023.0,4793008,212361.89632255206
 НАО (Новомосковский),Ольховая,14.0,3,Новые Ватутинки,«Новые Ватутинки. Микрорайон Центральный»,Комфорт,Студия,1.0,8.0,Чистовая,1.0,22.0,9.5,11.724697336561748,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,5761800,261900.0
 НАО (Новомосковский),Ольховая,11.0,3,Новые Ватутинки,«Новые Ватутинки. Заречный»,Комфорт,Студия,7.0,12.0,Без отделки,1.0,28.8,13.4,11.724697336561748,Монолитный,"Подземная, гостевая",2025.0,6687360,232200.0
 САО,Хорошёво,3.0,3,ГК МИЦ,«Сити-комплекс Мята»,Бизнес,Апартаменты-студия,12.0,22.0,Без отделки,2.0,24.7,14.5,3.0,Монолитный,"Подземная, гостевая",2023.0,10311015,417450.0
 СВАО,ВДНХ,10.0,3,СЗ Звездный,«Сенатор»,Бизнес,Студия,13.0,22.0,Без отделки,1.0,29.9,20.333629300776895,5.0,Монолитный,Подземная,2023.0,14749371,493290.0
 ЮЗАО,Бульвар Адмирала Ушакова,5.0,3,ПИК,«Никольские луга»,Комфорт,Студия,5.0,9.0,Чистовая,1.0,20.1,10.0,5.0,Панельный,Отдельная многоуровневая,2024.0,5136666,255555.52238805967
 НАО (Новомосковский),Бунинская аллея,5.0,3,ПИК,«Бунинские луга»,Комфорт,Студия,17.0,17.0,Чистовая,1.0,19.9,9.8,5.0,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,6049799,304010.0
 ЗАО,Давыдково,5.0,3,ПИК,«Новое Очаково»,Комфорт,Студия,16.0,33.0,Предчистовая,1.0,20.2,9.9,5.2,Монолитный,"Подземная, гостевая",2024.0,6249132,309362.9702970297
 ЮВАО,Стахановская,3.0,2,ПИК,«Волжский парк»,Комфорт,Студия,7.0,17.0,Чистовая,1.0,20.1,9.8,5.2,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,6376544,317240.9950248756
 СВАО,Окружная,3.0,3,ПИК,«Сигнальный 16»,Комфорт,Студия,13.0,33.0,Чистовая,1.0,19.8,9.7,5.1,Монолитный,"Подземная, гостевая",2025.0,6531346,329865.9595959596
 ВАО,Сокольники,3.0,2,ПИК,«Сокольнический вал 1»,Комфорт,Апартаменты-студия,21.0,21.0,Чистовая,2.0,21.6,10.7,5.9,Монолитный,-,2023.0,6634872,307170.0
 ЮАО,Красный Строитель,6.0,3,ПИК,«Ютаново»,Комфорт,Студия,20.0,33.0,Чистовая,1.0,20.0,9.8,5.1,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,6760940,338047.0
 СВАО,Медведково,5.0,3,Upside Development,«Clementine (Клементин)»,Комфорт,апартаменты,5.0,8.0,Чистовая,1.0,35.22,12.5,15.5,Монолитный,Гостевая,2024.0,6941862,197100.0
 ВАО,Измайлово,8.0,3,ГК Новая Жизнь,«Апартаменты Измайловский парк»,Бизнес,апартаменты,19.0,24.0,Чистовая,1.0,18.77,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,7095060,378000.0
 ЮВАО,Окская,9.0,3,ПИК,«Михайловский парк»,Комфорт,Студия,22.0,33.0,Чистовая,1.0,23.95,13.3,5.0,Монолитный,"Подземная, гостевая",2024.0,7242336,302393.987473904
 ЮВАО,Дубровка,4.0,3,MR Group,«Метрополия»,Бизнес,Апартаменты-студия,6.0,8.0,Предчистовая,2.0,22.5,20.333629300776895,14.4,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024.0,7158715,318165.1111111111
 НАО (Новомосковский),Улица Горчакова,7.0,3,А101,«Скандинавия»,Комфорт,квартира,8.0,14.0,Без отделки,1.0,23.7,20.333629300776895,11.724697336561748,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023.0,7528943,317676.9198312236
 ЮВАО,Марьино,3.0,3,Seven Suns Development,«Светлый мир Станция Л»,Комфорт,квартира,20.0,25.0,Чистовая,1.0,34.64,10.8,12.6,Монолитный,Гостевая,2024.0,7646780,220750.0
 САО,Коптево,5.0,3,ПИК,«Кронштадтский 14»,Комфорт,Студия,15.0,33.0,Чистовая,1.0,20.1,9.9,5.2,Монолитный,"Подземная, гостевая",2024.0,7953931,395717.96019900497
 СЗАО,Спартак,5.0,3,ПИК,«Holland park (Холланд парк)»,Комфорт,Студия,12.0,24.0,Без отделки,1.0,22.5,10.0,5.3,Монолитный,"Подземная, гостевая",2024.0,8008290,355924.0
 ЮВАО,Братиславская,3.0,3,ПИК,«Люблинский парк»,Комфорт,квартира,16.0,16.0,Чистовая,1.0,32.2,16.1,9.4,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,8052447,250075.99378881985
 ЮВАО,Братиславская,3.0,3,ПИК,«Люблинский парк»,Комфорт,квартира,22.0,25.0,Чистовая,2.0,32.2,19.7,5.8,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,8065456,250479.99999999997
 НАО (Новомосковский),Бунинская аллея,5.0,3,ПИК,«Бунинские луга»,Комфорт,квартира,2.0,17.0,Чистовая,1.0,32.5,12.5,10.5,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,8179990,251692.0
 СЗАО,Спартак,5.0,3,ПИК,«Holland park (Холланд парк)»,Комфорт,Студия,11.0,13.0,Без отделки,1.0,24.1,11.0,5.5,Монолитный,"Подземная, гостевая",2024.0,8397645,348450.0
 СВАО,Медведково,5.0,3,Upside Development,«Clementine (Клементин)»,Комфорт,апартаменты,8.0,8.0,Чистовая,1.0,36.76,12.3,17.9,Монолитный,Гостевая,2024.0,8300408,225800.0
 САО,Марк,4.0,3,ПИК,«Дмитровский парк»,Комфорт,Студия,32.0,33.0,Неизвестно,1.0,25.52,12.2,6.5,Монолитный,"Подземная, гостевая",2023.0,8398168,329081.8181818182
 ЮВАО,Марьино,3.0,3,Seven Suns Development,«Светлый мир Станция Л»,Комфорт,квартира,14.0,25.0,Чистовая,1.0,38.39,11.1,15.0,Монолитный,Гостевая,2024.0,8405491,218950.01302422505
 ЮВАО,Братиславская,2.0,3,ПИК,«Люблинский парк»,Комфорт,квартира,17.0,33.0,Чистовая,2.0,32.6,20.0,5.7,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,8452104,259266.99386503067
 САО,Марк,4.0,3,ПИК,«Дмитровский парк»,Комфорт,Студия,33.0,33.0,Чистовая,1.0,20.11,12.2,2.7,Монолитный,"Подземная, гостевая",2023.0,8426709,419030.78070611635
 ВАО,Измайлово,8.0,3,ГК Новая Жизнь,«Апартаменты Измайловский парк»,Бизнес,апартаменты,20.0,24.0,Чистовая,1.0,25.09,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,8500492,338800.0
 ЮВАО,Люблино,5.0,3,ПИК,«Люблинский парк»,Комфорт,квартира,9.0,15.0,Чистовая,1.0,31.8,12.2,10.1,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,8614047,270881.9811320755
 СВАО,Окружная,3.0,3,ПИК,«Сигнальный 16»,Комфорт,квартира,11.0,33.0,Чистовая,1.0,32.1,12.4,10.5,Монолитный,"Подземная, гостевая",2025.0,8584503,267430.0
 ЮВАО,Братиславская,3.0,3,ПИК,«Люблинский парк»,Комфорт,квартира,5.0,16.0,Чистовая,1.0,35.8,10.5,17.2,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,8681535,242500.9776536313
 СВАО,Алтуфьево,5.0,3,ПИК,«Полар»,Комфорт,квартира,32.0,32.0,Чистовая,1.0,35.2,9.9,16.7,Монолитный,"Подземная, гостевая",2025.0,8799120,249974.99999999997
 ЗАО,Давыдково,5.0,3,ПИК,«Новое Очаково»,Комфорт,квартира,18.0,33.0,Предчистовая,1.0,32.3,9.4,16.3,Монолитный,"Подземная, гостевая",2024.0,8778849,271790.99071207433
 ЗАО,Солнцево,4.0,3,ПИК,«Мещерский лес»,Комфорт,Студия,19.0,21.0,Чистовая,1.0,21.8,10.1,5.7,"Панельный, кирпичный","Подземная, отдельная многоуровневая",2022.0,8752700,401500.0
 НАО (Новомосковский),Бунинская аллея,5.0,3,,«Бунинские кварталы»,,квартира,9.0,9.0,Без отделки,1.0,36.2,14.2,11.2,,,2024.0,8868888,244996.90607734805
 САО,Водники,12.0,3,ДСК-1,«Первый Ленинградский»,Комфорт,квартира,2.0,13.0,Чистовая,1.0,38.0,14.1,10.9,Панельный,"Отдельная многоуровневая, гостевая",2023.0,8866692,233334.0
 ЮВАО,Стахановская,3.0,2,ПИК,«Волжский парк»,Комфорт,квартира,5.0,17.0,Чистовая,2.0,32.5,20.0,4.4,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,8859467,272598.9846153846
 ЮВАО,Стахановская,3.0,2,ПИК,«Волжский парк»,Комфорт,квартира,6.0,17.0,Чистовая,1.0,32.6,10.6,12.6,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,8837338,271083.98773006134
 НАО (Новомосковский),Прокшино,5.0,3,ПИК,«Саларьево парк»,Комфорт,квартира,3.0,18.0,Чистовая,2.0,32.8,19.9,5.7,Монолитный,"Подземная, гостевая",2024.0,8828612,269165.0
 ВАО,Сокольники,3.0,2,ПИК,«Сокольнический вал 1»,Комфорт,апартаменты,3.0,21.0,Чистовая,1.0,37.8,11.6,16.0,Монолитный,-,2023.0,8947260,236700.00000000003
 СЗАО,Волоколамская,5.0,3,ПИК,«Митинский лес»,Комфорт,квартира,17.0,19.0,Чистовая,1.0,34.2,10.6,15.5,Монолитный,Гостевая,2024.0,8980920,262600.0
 НАО (Новомосковский),Ольховая,17.0,3,Группа Родина,«Russian Design District (Рашен Дизайн Дистрикт)»,Бизнес,квартира,6.0,13.0,Без отделки,1.0,31.08,14.5,6.5,Монолитно-кирпичный,"Подземная, гостевая",2023.0,8902400,286435.00643500645
 СВАО,Окружная,3.0,3,ПИК,«Сигнальный 16»,Комфорт,квартира,3.0,17.0,Чистовая,2.0,32.1,19.8,4.2,Монолитный,"Подземная, гостевая",2025.0,9019522,280981.99376947037
 ВАО,Измайлово,4.0,3,ПИК,«Амурский парк»,Комфорт,квартира,4.0,28.0,Чистовая,1.0,32.2,9.4,16.1,Монолитный,"Подземная, гостевая",2025.0,9096403,282496.98757763975
 ВАО,Измайлово,4.0,3,ПИК,«Амурский парк»,Комфорт,квартира,4.0,28.0,Чистовая,1.0,32.2,9.4,16.2,Монолитный,"Подземная, гостевая",2025.0,9197221,285627.98136645963
 ЗАО,Солнцево,4.0,3,ПИК,«Мещерский лес»,Комфорт,Студия,20.0,21.0,Чистовая,1.0,23.4,11.0,6.1,"Панельный, кирпичный","Подземная, отдельная многоуровневая",2022.0,9156420,391300.0
 ЮВАО,Лухмановская,2.0,3,Группа Самолет,«Квартал Некрасовка»,Комфорт,квартира,22.0,22.0,Чистовая,1.0,31.2,13.2,11.724697336561748,Монолитный,Гостевая,2022.0,9305471,298252.2756410256
 СВАО,Алтуфьево,5.0,3,ПИК,«Полар»,Комфорт,квартира,22.0,32.0,Чистовая,1.0,36.8,11.0,17.9,Монолитный,"Подземная, гостевая",2025.0,9284566,252297.9891304348
 ЮВАО,Нижегородская,5.0,3,ПИК,«Волжский парк»,Комфорт,квартира,9.0,23.0,Чистовая,1.0,31.9,12.2,10.1,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,9340288,292798.9968652038
 ЮАО,Красный Строитель,6.0,3,ПИК,«Ютаново»,Комфорт,квартира,15.0,33.0,Чистовая,1.0,32.3,9.5,16.2,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,9297555,287850.0
